City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,-6.34,64,11,2.8,US,1675303801
1,qaanaaq,77.484,-69.3632,-23.11,64,0,3.77,GL,1675303810
2,zamora,-4.0692,-78.9567,20.46,98,92,0.36,EC,1675304494
3,caucaia,-3.7361,-38.6531,27.24,79,40,2.57,BR,1675304494
4,lagoa,39.05,-27.9833,13.68,70,4,3.16,PT,1675303950
5,rikitea,-23.1203,-134.9692,26.5,75,6,5.76,PF,1675304347
6,ushuaia,-54.8,-68.3,12.81,67,40,4.63,AR,1675304235
7,avera,33.194,-82.5271,15.31,85,100,3.25,US,1675304459
8,hilo,19.7297,-155.09,27.38,82,40,2.06,US,1675304434
9,hobart,-42.8794,147.3294,20.7,47,75,8.23,AU,1675304495
10,haines junction,60.7522,-137.5108,-13.03,78,100,0.51,CA,1675304226
11,jamestown,42.097,-79.2353,-7.23,80,0,3.6,US,1675304266
12,hithadhoo,-0.6,73.0833,26.9,77,43,4.1,MV,1675304358
13,solnechnyy,50.7214,136.6319,-19.64,91,87,1.04,RU,1675304496
14,barrow,71.2906,-156.7887,-21.99,77,0,9.26,US,1675304345
15,busselton,-33.65,115.3333,22.39,42,96,7.08,AU,1675304343
16,port alfred,-33.5906,26.891,17.32,92,0,4.72,ZA,1675303896
17,pevek,69.7008,170.3133,-21.97,95,23,0.66,RU,1675303916
18,jardim,-21.4803,-56.1381,23.12,98,100,1.59,BR,1675304206
19,moree,-29.4667,149.85,32.67,17,0,3.78,AU,1675304497
20,ancud,-41.8697,-73.8203,12.32,79,64,2.05,CL,1675304143
21,tasiilaq,65.6145,-37.6368,-6.91,79,100,9.33,GL,1675304497
22,hami,42.8,93.45,-5.89,67,100,1.18,CN,1675304498
23,saint-pierre,-21.3393,55.4781,23.82,69,40,2.57,RE,1675304006
24,castro,-24.7911,-50.0119,17.35,95,57,1.07,BR,1675303820
25,hervey bay,-25.2986,152.8535,27.72,79,19,2.25,AU,1675304498
26,berlevag,70.8578,29.0864,-2.03,74,20,3.09,NO,1675304361
27,tabas,33.5959,56.9244,5.12,93,1,2.06,IR,1675304499
28,lompoc,34.6391,-120.4579,13.08,77,0,2.24,US,1675303946
29,rundu,-17.9333,19.7667,19.57,85,100,1.04,NA,1675304348
30,shimoda,34.6667,138.95,8.39,57,100,5.17,JP,1675304412
31,harper,4.375,-7.7169,26.16,86,5,3.36,LR,1675304000
32,pachino,36.7186,15.0907,10.3,72,93,4.89,IT,1675304499
33,la ronge,55.1001,-105.2842,-27.38,88,65,5.33,CA,1675303899
34,deputatskiy,69.3,139.9,-27.74,97,100,1.69,RU,1675304500
35,carnarvon,-24.8667,113.6333,30.53,57,43,4.79,AU,1675304500
36,khatanga,71.9667,102.5,-30.26,95,100,2.81,RU,1675303906
37,alofi,-19.0595,-169.9187,27.94,78,100,6.69,NU,1675304501
38,shenjiamen,29.9576,122.298,7.71,64,75,6.89,CN,1675303961
39,belmonte,-15.8631,-38.8828,24.51,86,17,2.56,BR,1675304501
40,serenje,-13.2325,30.2352,16.63,95,98,0.48,ZM,1675304501
41,petropavlovsk-kamchatskiy,53.0452,158.6483,-11.67,57,0,3.0,RU,1675304409
42,san patricio,28.017,-97.5169,3.93,89,100,5.42,US,1675303925
43,atuona,-9.8,-139.0333,25.93,79,100,6.87,PF,1675304502
